Bevölkerungsbewegung seit 1960;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Gemeinden (einschl. gemeindefreie Gebiete);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;Berichtsjahr;Berichtsjahr;Berichtsjahr;Berichtsjahr;Berichtsjahr;Berichtsjahr;Berichtsjahr;Berichtsjahr;Berichtsjahr;Berichtsjahr;Berichtsjahr;Berichtsjahr;Berichtsjahr;Berichtsjahr;Berichtsjahr;Berichtsjahr;Berichtsjahr;Berichtsjahr;Berichtsjahr;Berichtsjahr;Berichtsjahr;Berichtsjahr;Berichtsjahr;Berichtsjahr;Berichtsjahr;Berichtsjahr;Berichtsjahr;Berichtsjahr;Berichtsjahr;Berichtsjahr;Berichtsjahr;Berichtsjahr;Berichtsjahr;Berichtsjahr;Berichtsjahr;Berichtsjahr;Berichtsjahr;Berichtsjahr;Berichtsjahr;Berichtsjahr;Berichtsjahr;Berichtsjahr;Berichtsjahr;Berichtsjahr;Berichtsjahr;Berichtsjahr;Berichtsjahr;Berichtsjahr;Berichtsjahr;Berichtsjahr;Berichtsjahr;Berichtsjahr;Berichtsjahr;Berichtsjahr;Berichtsjahr;Berichtsjahr;Berichtsjahr;Berichtsjahr;Berichtsjahr;Berichtsjahr
;;1960;1960;1960;1960;1960;1960;1970;1970;1970;1970;1970;1970;1980;1980;1980;1980;1980;1980;1990;1990;1990;1990;1990;1990;2000;2000;2000;2000;2000;2000;2010;2010;2010;2010;2010;2010;2020;2020;2020;2020;2020;2020;2021;2021;2021;2021;2021;2021;2022;2022;2022;2022;2022;2022;2023;2023;2023;2023;2023;2023
;;Lebendgeborene;Gestorbene;Zuzüge über die Gemeindegrenzen;Fortzüge über die Gemeindegrenzen;Gesamtsaldo der Be-völkerungsbewegung;Einwohner am 31.12.;Lebendgeborene;Gestorbene;Zuzüge über die Gemeindegrenzen;Fortzüge über die Gemeindegrenzen;Gesamtsaldo der Be-völkerungsbewegung;Einwohner am 31.12.;Lebendgeborene;Gestorbene;Zuzüge über die Gemeindegrenzen;Fortzüge über die Gemeindegrenzen;Gesamtsaldo der Be-völkerungsbewegung;Einwohner am 31.12.;Lebendgeborene;Gestorbene;Zuzüge über die Gemeindegrenzen;Fortzüge über die Gemeindegrenzen;Gesamtsaldo der Be-völkerungsbewegung;Einwohner am 31.12.;Lebendgeborene;Gestorbene;Zuzüge über die Gemeindegrenzen;Fortzüge über die Gemeindegrenzen;Gesamtsaldo der Be-völkerungsbewegung;Einwohner am 31.12.;Lebendgeborene;Gestorbene;Zuzüge über die Gemeindegrenzen;Fortzüge über die Gemeindegrenzen;Gesamtsaldo der Be-völkerungsbewegung;Einwohner am 31.12.;Lebendgeborene;Gestorbene;Zuzüge über die Gemeindegrenzen;Fortzüge über die Gemeindegrenzen;Gesamtsaldo der Be-völkerungsbewegung;Einwohner am 31.12.;Lebendgeborene;Gestorbene;Zuzüge über die Gemeindegrenzen;Fortzüge über die Gemeindegrenzen;Gesamtsaldo der Be-völkerungsbewegung;Einwohner am 31.12.;Lebendgeborene;Gestorbene;Zuzüge über die Gemeindegrenzen;Fortzüge über die Gemeindegrenzen;Gesamtsaldo der Be-völkerungsbewegung;Einwohner am 31.12.;Lebendgeborene;Gestorbene;Zuzüge über die Gemeindegrenzen;Fortzüge über die Gemeindegrenzen;Gesamtsaldo der Be-völkerungsbewegung;Einwohner am 31.12.
;;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl
9;Bayern;171670;109783;740452;678392;123947;9494939;143656;122323;878294;743157;156470;10561110;114451;122859;689040;623576;57056;10928151;136122;123726;869740;654048;228088;11448823;120765;118846;778364;704995;75288;12230255;105251;123089;739802;694187;27777;12538696;128764;143367;876293;843055;18635;13140183;134321;147984;893353;840581;39109;13176989;124897;152417;1158675;936107;195048;13105221;116505;146475;1065157;966033;69154;13176426
91;  Oberbayern;45384;31228;274852;224370;64638;2844910;41606;36788;359692;271327;93183;3372700;35258;37078;271671;242256;27595;3657776;43924;39069;323747;248482;80120;3801448;41448;36991;306229;261252;49434;4083077;40634;38608;302214;268503;35737;4382325;48562;45577;329485;322821;9649;4719716;50891;46697;336623;330525;10292;4729243;47061;48444;436110;361496;73231;4705040;43817;46872;394065;370800;20210;4726101
92;  Niederbayern;19500;11524;68529;75737;768;927399;15565;12128;63997;62249;5185;980240;11587;11544;52357;48484;3916;998192;13212;11623;75718;56629;20678;1078110;11850;11469;69015;63360;6036;1176206;9317;12067;62882;59989;143;1189384;11557;14432;83350;77197;3278;1247063;12223;15014;85802;76398;6613;1253441;11496;14920;110153;85963;20766;1244102;10548;14515;102060;90841;7252;1251623
93;  Oberpfalz;18597;10373;55249;58805;4668;888720;14854;10992;59932;57158;6636;967332;11108;11219;48965;47466;1388;966503;12553;10831;63869;47897;17694;1008999;10515;10403;56717;51950;4879;1079217;8591;11151;52703;50461;-318;1081120;10759;13034;68323;65545;503;1112267;11084;13428;70035;63050;4641;1116741;10583;13732;92697;72307;17241;1107750;9783;13292;86966;75210;8247;1116135
94;  Oberfranken;18934;12567;57334;60190;3511;1046463;14977;14067;61026;60347;1589;1080294;10772;13891;48781;46086;-424;1052338;12216;13185;74095;54082;19044;1074867;10319;12220;60579;59582;-904;1113251;7908;12545;53108;53565;-5094;1071306;9061;14016;65082;63091;-2964;1062085;9410;14595;67038;61821;32;1061929;8841;15105;87092;68740;12088;1051868;8144;14176;82524;72689;3803;1055751
