Baufertigstellungen seit 2016;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Gemeinden (einschl. gemeindefreie Gebiete);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;Berichtsjahr;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;2016;;;;;;;;2017;;;;;;;;2018;;;;;;;;2019;;;;;;;;2020;;;;;;;;2021;;;;;;;;2022;;;;;;;;2023;;;;;;;
;;Wohngebäude (Neuerrichtungen);;;;Wohnungen in Wohn- und Nichtwohngebäuden;;;;Wohngebäude (Neuerrichtungen);;;;Wohnungen in Wohn- und Nichtwohngebäuden;;;;Wohngebäude (Neuerrichtungen);;;;Wohnungen in Wohn- und Nichtwohngebäuden;;;;Wohngebäude (Neuerrichtungen);;;;Wohnungen in Wohn- und Nichtwohngebäuden;;;;Wohngebäude (Neuerrichtungen);;;;Wohnungen in Wohn- und Nichtwohngebäuden;;;;Wohngebäude (Neuerrichtungen);;;;Wohnungen in Wohn- und Nichtwohngebäuden;;;;Wohngebäude (Neuerrichtungen);;;;Wohnungen in Wohn- und Nichtwohngebäuden;;;;Wohngebäude (Neuerrichtungen);;;;Wohnungen in Wohn- und Nichtwohngebäuden;;;
;;;Zahl der Wohnungen;;;;Raumzahl (1/2,3/4,5o.m.);;;;Zahl der Wohnungen;;;;Raumzahl (1/2,3/4,5o.m.);;;;Zahl der Wohnungen;;;;Raumzahl (1/2,3/4,5o.m.);;;;Zahl der Wohnungen;;;;Raumzahl (1/2,3/4,5o.m.);;;;Zahl der Wohnungen;;;;Raumzahl (1/2,3/4,5o.m.);;;;Zahl der Wohnungen;;;;Raumzahl (1/2,3/4,5o.m.);;;;Zahl der Wohnungen;;;;Raumzahl (1/2,3/4,5o.m.);;;;Zahl der Wohnungen;;;;Raumzahl (1/2,3/4,5o.m.);;
;;;1 Wohnung;2 Wohnungen;3 und mehr Wohnungen;;1 und 2 Räume;3 und 4 Räume;5 oder mehr Räume;;1 Wohnung;2 Wohnungen;3 und mehr Wohnungen;;1 und 2 Räume;3 und 4 Räume;5 oder mehr Räume;;1 Wohnung;2 Wohnungen;3 und mehr Wohnungen;;1 und 2 Räume;3 und 4 Räume;5 oder mehr Räume;;1 Wohnung;2 Wohnungen;3 und mehr Wohnungen;;1 und 2 Räume;3 und 4 Räume;5 oder mehr Räume;;1 Wohnung;2 Wohnungen;3 und mehr Wohnungen;;1 und 2 Räume;3 und 4 Räume;5 oder mehr Räume;;1 Wohnung;2 Wohnungen;3 und mehr Wohnungen;;1 und 2 Räume;3 und 4 Räume;5 oder mehr Räume;;1 Wohnung;2 Wohnungen;3 und mehr Wohnungen;;1 und 2 Räume;3 und 4 Räume;5 oder mehr Räume;;1 Wohnung;2 Wohnungen;3 und mehr Wohnungen;;1 und 2 Räume;3 und 4 Räume;5 oder mehr Räume
;;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl
9;Bayern;21583;16963;1837;2783;53993;13883;19160;20950;25166;19732;2345;3089;61056;16030;20934;24092;24012;18539;2396;3077;60838;16085;22056;22697;23875;18682;2175;3018;59779;15526;21823;22430;25449;19701;2395;3353;64013;16743;23691;23579;22808;17273;2421;3114;60857;17676;22465;20716;23261;17125;2887;3249;62865;18534;23179;21152;23459;16772;3336;3351;65770;19821;24814;21135
91;  Oberbayern;7430;5411;668;1351;21707;6104;8600;7003;8647;6338;845;1464;24087;6823;9270;7994;8386;5933;855;1598;26178;7917;10330;7931;8026;5848;782;1396;24840;7680;9562;7598;7949;5635;812;1502;24809;7768;9924;7117;7674;5435;819;1420;24618;8570;9090;6958;7302;5011;896;1395;23871;8040;9120;6711;7574;5064;1003;1507;26321;9060;10487;6774
92;  Niederbayern;3002;2567;208;227;5757;1277;1683;2797;3643;3010;348;285;6856;1200;2165;3491;3205;2706;298;201;5975;1242;1720;3013;3368;2806;295;267;6302;1241;2024;3037;3962;3262;362;338;7546;1302;2585;3659;3137;2500;355;282;6792;1639;2289;2864;3150;2431;411;308;7282;2017;2426;2839;3178;2346;473;359;7410;1869;2669;2872
