Kindertageseinrichtungen seit 2019;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Gemeinden (einschl. gemeindefreie Gebiete);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;01.03.2019;;;;;;;;01.03.2020;;;;;;;;01.03.2021;;;;;;;;01.03.2022;;;;;;;;01.03.2023;;;;;;;;01.03.2024;;;;;;;
;;Kindertageseinrichtungen;Genehmigte Plätze in Kindertageseinrichtungen;Betreute Kinder in Kindertageseinrichtungen;;;;;Personal in Kindertageseinrichtungen;Kindertageseinrichtungen;Genehmigte Plätze in Kindertageseinrichtungen;Betreute Kinder in Kindertageseinrichtungen;;;;;Personal in Kindertageseinrichtungen;Kindertageseinrichtungen;Genehmigte Plätze in Kindertageseinrichtungen;Betreute Kinder in Kindertageseinrichtungen;;;;;Personal in Kindertageseinrichtungen;Kindertageseinrichtungen;Genehmigte Plätze in Kindertageseinrichtungen;Betreute Kinder in Kindertageseinrichtungen;;;;;Personal in Kindertageseinrichtungen;Kindertageseinrichtungen;Genehmigte Plätze in Kindertageseinrichtungen;Betreute Kinder in Kindertageseinrichtungen;;;;;Personal in Kindertageseinrichtungen;Kindertageseinrichtungen;Genehmigte Plätze in Kindertageseinrichtungen;Betreute Kinder in Kindertageseinrichtungen;;;;;Personal in Kindertageseinrichtungen
;;;;Altersgruppen (Kinder);;;;;;;;Altersgruppen (Kinder);;;;;;;;Altersgruppen (Kinder);;;;;;;;Altersgruppen (Kinder);;;;;;;;Altersgruppen (Kinder);;;;;;;;Altersgruppen (Kinder);;;;;
;;;;Insgesamt;Kinder - unter 3 Jahre alt;Kinder - 3 bis unter 6 Jahre alt;Kinder - 6 bis unter 11 Jahre alt;Kinder - 11 bis unter 14 Jahre alt;;;;Insgesamt;Kinder - unter 3 Jahre alt;Kinder - 3 bis unter 6 Jahre alt;Kinder - 6 bis unter 11 Jahre alt;Kinder - 11 bis unter 14 Jahre alt;;;;Insgesamt;Kinder - unter 3 Jahre alt;Kinder - 3 bis unter 6 Jahre alt;Kinder - 6 bis unter 11 Jahre alt;Kinder - 11 bis unter 14 Jahre alt;;;;Insgesamt;Kinder - unter 3 Jahre alt;Kinder - 3 bis unter 6 Jahre alt;Kinder - 6 bis unter 11 Jahre alt;Kinder - 11 bis unter 14 Jahre alt;;;;Insgesamt;Kinder - unter 3 Jahre alt;Kinder - 3 bis unter 6 Jahre alt;Kinder - 6 bis unter 11 Jahre alt;Kinder - 11 bis unter 14 Jahre alt;;;;Insgesamt;Kinder - unter 3 Jahre alt;Kinder - 3 bis unter 6 Jahre alt;Kinder - 6 bis unter 11 Jahre alt;Kinder - 11 bis unter 14 Jahre alt;
;;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl
9;Bayern;9510;639208;579092;100607;333021;142619;2845;118806;9645;663264;599803;104949;343336;148893;2625;125119;9850;687043;609872;104590;349579;153110;2593;129989;10085;710851;629104;111322;354603;160636;2543;135180;10233;732837;645568;115974;359564;167678;2352;140327;10398;750848;654683;117413;362195;172772;2303;147847
91;  Oberbayern;3706;249632;221895;38575;123844;58479;997;46984;3730;259788;228054;39115;126800;61243;896;49034;3793;269305;231190;39170;127875;63222;923;50721;3893;277837;236915;40528;129692;65810;885;52406;3947;287247;241906;41669;130229;69101;907;54144;4015;294972;245079;42476;130765;70906;932;56554
92;  Niederbayern;689;51455;46576;6618;30056;9448;454;8847;701;53780;48814;7459;31139;9773;443;9482;730;56149;49617;7211;31932;10019;455;9972;747;58001;51469;7932;32092;10985;460;10484;764;59917;53035;8671;32849;11096;419;11026;789;61496;53994;8900;33443;11281;370;11787
93;  Oberpfalz;725;45385;43096;6841;27518;8639;98;8256;740;46849;44591;7512;28049;8920;110;8678;761;48718;45811;7734;28588;9385;104;9065;779;50571;47318;8459;28989;9766;104;9580;793;52034;48869;9120;29724;9934;91;10089;805;53406;49898;9394;30095;10318;91;10692
